Dish Name ,Ingredients ,Measrement ,Energy (cal)
Poha ,Poha ,1.5 cups ,110
Poha ,Onion ,1,31
Poha ,Green Chilies,2,36
Poha ,Coriander leaves,50 g,15
Poha ,Potatoes,1,110
Poha ,Oil ,1 and 1/2 tablespoon ,180
Poha ,Peanuts ,2 tablespoon,170
Poha ,Mustard Seeds ,3/4 teaspoon,12
Poha ,Cumin seeds ,3/4 teaspoon,6
Poha ,Turmeric ,1/4 teaspoon,2
Poha ,Leamon,1/2 lemon,11
Yellow Dal ,Yellow Dal,1 cup ,147
Yellow Dal ,Garlic ,2 cloves,9
Yellow Dal ,Tomatoes ,1 cup ,32
Yellow Dal ,onion ,1/2 cup,23
Yellow Dal ,Turmeric ,1/2 teaspoon ,4
Yellow Dal ,Chili Powder ,3/4 teaspoon,6
Yellow Dal ,Cumin seeds ,1 teaspoon ,8
Yellow Dal ,Green pepper ,1/2 teaspoon ,16
Yellow Dal ,Canola Oil ,1 and 1/2  tablespoon ,186
Rice ,Rice ,1 cup ,206
Sushi,Sushi rice ,3 cups ,500
Sushi,sugar ,1 tablespoon ,48
Sushi,black rice ,1 cup ,640
Sushi,roasted nori ,4 sheets ,188
Sushi,avocado,4 slices ,105
Sushi,cucumber ,4 sticks ,4
Sushi,mango ,4 sticks ,60
Kelloggs cereals ,Kellogs cereals ,1 cup ,140
Milk ,milk ,1 cup ,103
Sauteed vegetables,Carrot ,1/2 cup,25
Sauteed vegetables,Cottage Cheese ,1 cup ,222
Sauteed vegetables,Corn ,1 cup ,132
Sauteed vegetables,Zucchini,3/4 cup ,15
Sauteed vegetables,Mushroom ,1 cup ,16
Sauteed vegetables,Broccoli ,2 cup ,62
Sauteed vegetables,Onion ,1 cup ,46
Sauteed vegetables,Oil ,3 tablespoon ,12
Sauteed vegetables,lemon,1 and 1/2 teaspoon,33
Sauteed vegetables,Garlic ,1 and 1/2 teaspoon,6
Mongolian Fried Rice,Rice,2/3 cup  ,141
Mongolian Fried Rice,vegetable oil,3 & ½ tablespoon,361
Mongolian Fried Rice,black pepper,3/4 teaspoon,4
Mongolian Fried Rice,chilli powder,1 & ½ teaspoon,12
Mongolian Fried Rice,ginger,½ tablespoon,9
Mongolian Fried Rice,garlic,1 tablespoon ,5
Mongolian Fried Rice,onion,¼ cup,17
Mongolian Fried Rice,eggs,2,148
Mongolian Fried Rice,carrot,½ cup,25
Mongolian Fried Rice,cabbage,½ cup,17
Mongolian Fried Rice,Green Chilies,3,54
Mongolian Fried Rice,chilli sauce,1 & ½ tablespoon,27
Mongolian Fried Rice,soy sauce,1 & ½ tablespoon,13
Mongolian Fried Rice,green onion,¼ cup,8
Mongolian Fried Rice,kangkong leaves,1 cup,240
Uttapam ,semolina,,
Uttapam ,yogurt ,,
Uttapam ,Eno,,
Uttapam ,Onion ,,
Uttapam ,Tomatoes ,,
Uttapam ,Green Chilies,,
Uttapam ,cilantro,,
Uttapam ,red chili powder ,,